id,name,type,spatial,url,focus,member of,parent,based in,orcid,employer,affiliated in,involved in,start,end,keywords,lead
P063,Yvonne Fuchs,,,,,,,,https://orcid.org/0009-0007-4545-606X,G057; G062,G054,,,,,
P064,Martin Grandjean,,,,,,,,https://orcid.org/0000-0003-3184-3943,G016,G054; G025,PR003,,,,
P065,Kaspar Gubler,,,,,,,,,G064,G054,,,,,
P066,Philipp Krauer,,,,,,,,https://orcid.org/0009-0008-2299-660X,G016; G069,G054,,,,,
P067,Eliane Kurmann,,,,,,,,https://orcid.org/0000-0002-9037-7260,G031,G054,,,,,
P068,Victoria G. D. Landau,,,,,,,,https://orcid.org/0000-0002-7682-5709,G057,G054; G001; G081,PR018,,,,
P069,Rudolf Gschwind,,,,,,,,,,G001,,,,,
P070,Georg Lutz,,,,,,,,https://orcid.org/0000-0001-5851-2955,G055,G061,,,,,
P071,Muriel Heisch,,,,,,,,,G010,,,,,,
P072,Sophie Hammer,,,,,,,,,G010,,,,,,
P073,Matteo Romanello,,,,,,,,https://orcid.org/0000-0002-7406-6286,G010,G004; G006,PR015; PR016,,,,
P074,Alina Degen,,,,,,,,,G010,,,,,,
P075,Silvan Benz,,,,,,,,,G010,,,,,,
P076,Michael Piotrowski,,,,,,,,https://orcid.org/0000-0003-3307-5386,G016,G054; PR013,,,,,
P077,Tim Rüdiger,,,,,,,,https://orcid.org/0009-0004-5148-8242,G065,G054,,,,,
P078,Elias Kreyenbühl,,,,,,,,,G065,G001; G081,,,,,
P079,Raphaëlle Ruppen Coutaz,,,,,,,,https://orcid.org/0000-0002-3503-4978,G016,G054,PR003,,,,
P080,Eliane Schmid,,,,,,,,https://orcid.org/0000-0001-7904-3908,G070,G054,,,,,
P081,Ina Senif,,,,,,,,https://orcid.org/0000-0003-2419-42521,G057,G054,,,,,
P082,Christiane Sibille,,,,,,,,https://orcid.org/0000-0003-3689-2154,G067,G054; G061,,,,,
P083,Johannes Wahl,,,,,,,,,G067,G054,,,,,
P084,Ulrike Felsing,,,,,,,,,G027,G002,PR001,,,,
P085,Rahel C. Ackermann,,,,,,,,https://orcid.org/0000-0002-2927-7471,G070,G061,,,,,
P086,Sacha Zala,,,,,,,,https://orcid.org/0000-0002-0125-7313,G072,G053; G061,,,,,
P087,Doris Hanappi,,,,,,,,https://orcid.org/0000-0002-1735-4214,G058,G061,,,,,
P088,Stephanie Steinmetz,,,,,,,,https://orcid.org/0000-0001-7136-6622,G016,G061; G055,,,,,
P089,Linda Ludwig,,,,,,,,,G074,,,,,,
P090,Fabiana Senkpiel,,,,,,,,https://orcid.org/0000-0002-7165-4859,G027,,,,,,
P091,Béatrice Gauvain,,,,,,,,https://orcid.org/0000-0003-1085-7772,G001,G018,,,,,
P092,Marian Clemens Manz,,,,,,,,https://orcid.org/0000-0002-4408-7107,G001,G018; G081,,,,,
P093,Florian Spiess,,,,,,,,https://orcid.org/0000-0002-3396-1516,G057,G001,PR001,,,,
P094,David Spirgi,,,,,,,,,G057,G001,PR008,,,,
P095,Tina Ternes,,,,,,,,https://orcid.org/0009-0008-0914-6694,G001,,PR006,,,,
P096,Antonia Vogler,,,,,,,,https://orcid.org/0009-0007-9292-4831,G001,,PR006,,,,
P097,Soledad Castaño Santos,,,,,,,,,G057,G001,PR008,,,,
P098,Cristina Loi,,,,,,,,https://orcid.org/0000-0002-3694-5837,G001,,PR017,,,,
P099,Christoph Rohrer,,,,,,,,,G001,G018,PR001,,,,
P100,Manuel Rosenthaler,,,,,,,,,G001,,,,,,
P101,Alexandra Tschakert,,,,,,,,,G001; G075,,,,,,
P102,Christian Weber,,,,,,,,https://orcid.org/0000-0003-1078-1851,G001,G018,,,,,
P103,Berenike Herrmann,,,,,,,,https://orcid.org/0000-0002-5256-0566,,G001,,,,,
P104,Rodrigo Cerqueira Gonzalez Pena,,,,,,,,https://orcid.org/0000-0002-9010-2830,G057,G001,,,,,
P105,Regula Hohl Trillini,,,,,,,,https://orcid.org/0009-0006-3819-7373,G057,G001,PR004,,,,
P106,Stefan Münnich,,,,,,,,https://orcid.org/0000-0002-0744-5374,G057,G001; G076,,,,,
P107,Andrew Hankinson,,,,,,,,https://orcid.org/0000-0003-2663-0003,G077,G076; G081,,,,,
P108,Manuel Sutter,,,,,,,,,G057,G001,PR004,,,,
P109,Tristan Weddigen,,,,,,,,https://orcid.org/0000-0002-4609-8950,G003; G078,G018; G010,,,,,
P110,Darío Negueruela,,,,,,,,https://orcid.org/0000-0002-6333-1515,G003,G018,,,,,
P111,"Leonardo Impett
",,,,,,,,https://orcid.org/0000-0003-1774-5175,,G003,,,,,
P112,Valentine Bernasconi,,,,,,,,https://orcid.org/0000-0002-9467-8896,,G003; G018; G078; G009,,,,,
P113,Jason Armitage,,,,,,,,https://orcid.org/0000-0001-6377-2786,G003,,,,,,
P114,Ludovica Schaerf,,,,,,,,https://orcid.org/0000-0001-9460-702X,G003,,,,,,
P115,Pepe Ballesteros,,,,,,,,,G003,,,,,,
P116,Iacopo Neri,,,,,,,,https://orcid.org/0000-0002-9246-6494,G003,,,,,,
P117,Martin Stuber,,,,,,,,https://orcid.org/0000-0001-9853-9570,G064,PR001,PR004,,,,
P118,Ina Habermann,,,,,,,,https://orcid.org/0000-0002-7403-9595,G064,,PR004,,,,
P119,Christian Forney,,,,,,,,,G064,,PR004,,,,
